NAME	DEPT_ID	PARENT_ID	PCN_CODE
Medical School	230000	NULL	0
Anesthesiology	233000	230000	1
Biological Chemistry	234000	230000	2
Computational Medicine & Bioinformatics	231639	230000	3
Cardiac Surgery	302600	230000	4
Cell and Developmental Biology	232000	230000	5
Dermatology	235000	230000	6
Emergency Medicine	302200	230000	7
Family Medicine	235500	230000	8
Human Genetics	236000	230000	9
Internal Medicine	236999	230000	10
Administration	237000	236999	10
Allergy	237500	236999	10
Cardiology	238500	236999	10
Gastroenterology	239500	236999	10
General Medicine	239800	236999	10
Geriatrics and Palliative Medicine	240200	236999	10
Hematology/Oncology	240000	236999	10
Infectious Diseases	241500	236999	10
Institute of Gerontology	240300	236999	10
"Metabolism, Endocrinology & Diabetes"	239000	236999	10
Molecular Medicine & Genetics	241800	236999	10
Nephrology	243000	236999	10
Pulmonary	242500	236999	10
Rheumatology	238000	236999	10
Molecular & Behavioral Neuroscience Institute	280000	230000	11
Medical Education	258000	230000	12
MNIMBS	237510	230000	13
Microbiology & Immunology	245000	230000	14
Molecular & Integrative Physiology	257000	230000	15
Neurology	246000	230000	16
Neurosurgery	303000	230000	17
Obstetrics and Gynecology	247000	230000	18
Ophthalmology	248000	230000	19
Orthopaedic Surgery	304000	230000	20
Otolaryngology	249000	230000	21
Pathology	251000	230000	22
Pediatrics	251999	230000	23
Administration	252000	251999	23
Endocrinology	252200	251999	23
Ambulatory Care	252300	251999	23
Cardiology	252400	251999	23
Neonatal/Perinatal	252500	251999	23
Genetics	252600	251999	23
Hematology/Oncology	252700	251999	23
Neurology	252800	251999	23
Hospitalists	252920	251999	23
Child Behavioral Health	252930	251999	23
Immunology/Rheumatology	252940	251999	23
Gastroenterology	252950	251999	23
Infectious Diseases	252960	251999	23
Nephrology	252970	251999	23
Pulmonary	252995	251999	23
Intensive Care	252980	251999	23
Pharmacology	253000	230000	24
Physical Medicine & Rehabilitation	254000	230000	25
Psychiatry	260000	230000	26
Radiation Oncology	301500	230000	27
Radiology	301000	230000	28
Surgery	301999	230000	29
Administration	302000	301999	29
General Surgery	302500	301999	29
Transplant Surgery	302575	301999	29
Oral Surgery	303500	301999	29
Pediatric Surgery	304300	301999	29
Plastic Surgery	304500	301999	29
Thoracic Surgery	305000	301999	29
Vascular Surgery	306000	301999	29
Unit for Laboratory Animal Medicine	244000	230000	30
Urology	305500	230000	31
Administration	231000	230000	32
Biomedical Engineering	300600	230000	33
