#trackcode|description|metatrackcode|active|tags
Instructional|Instructional|Faculty|1|INSTRUCTIONAL
Clinical|Clinical|Faculty|1|CLINICAL
ResearchProfessor|Research Professor|Faculty|1|RESEARCH PROFESSOR
ResearchScientist|Research Scientist|Faculty|1|RESEARCH SCIENTIST
ClinicalLecturer|Clinical Lecturer|Lecturer|1|CLINICAL LECTURER
LeoLecturer|LEO Lecturer|Lecturer|1|LECTURER
SupplementalInstructional|Supplemental Instructional|Supplemental|1|SUPPLEMENTAL INSTRUCTIONAL
SupplementalClinical|SupplementalClinical|Supplemental|1|SUPPLEMENTAL CLINICAL
SupplementalResearchProfessor|Supplemental Research Professor|Supplemental|1|SUPPLEMENTAL RESEARCH PROFESSOR
SupplementalResearchScientist|Supplemental Research Scientist|Supplemental|1|SUPPLEMENTAL RESEARCH SCIENTIST
SupplementalLecturer|Supplemental Lecturer|Supplemental|1|SUPPLEMENTAL LECTURER
Academic/AdministrativeUngraded|Academic/Administrative Ungraded|Faculty|1|
