#workflow_code|track_change_code|track_change_descr|from_track_code|to_track_code|from_title_code|to_title_code
trackchange1|InstructionaltoClinicalorResearch|Instructional to Clinical or Research|Instructional|Clinical|AssistantProfessor|ClinicalAssistantProfessor
trackchange1|InstructionaltoClinicalorResearch|Instructional to Clinical or Research|Instructional|Clinical|AssociateProfessorwithoutTenure|ClinicalAssociateProfessor
trackchange1|InstructionaltoClinicalorResearch|Instructional to Clinical or Research|Instructional|Clinical|AssociateProfessorwithTenure|ClinicalAssociateProfessor
trackchange1|InstructionaltoClinicalorResearch|Instructional to Clinical or Research|Instructional|Clinical|ProfessorwithoutTenure|ClinicalProfessor
trackchange1|InstructionaltoClinicalorResearch|Instructional to Clinical or Research|Instructional|Clinical|ProfessorwithTenure|ClinicalProfessor
trackchange1|InstructionaltoClinicalorResearch|Instructional to Clinical or Research|Instructional|ResearchProfessor|AssistantProfessor|ResearchAssistantProfessor
trackchange1|InstructionaltoClinicalorResearch|Instructional to Clinical or Research|Instructional|ResearchProfessor|AssociateProfessorwithoutTenure|ResearchAssociateProfessor
trackchange1|InstructionaltoClinicalorResearch|Instructional to Clinical or Research|Instructional|ResearchProfessor|AssociateProfessorwithTenure|ResearchAssociateProfessor
trackchange1|InstructionaltoClinicalorResearch|Instructional to Clinical or Research|Instructional|ResearchProfessor|ProfessorwithoutTenure|ResearchProfessor
trackchange1|InstructionaltoClinicalorResearch|Instructional to Clinical or Research|Instructional|ResearchProfessor|ProfessorwithTenure|ResearchProfessor
trackchange1|InstructionaltoClinicalorResearch|Instructional to Clinical or Research|Instructional|ResearchScientist|AssistantProfessor|AssistantResearchScientist
trackchange1|InstructionaltoClinicalorResearch|Instructional to Clinical or Research|Instructional|ResearchScientist|AssociateProfessorwithoutTenure|AssociateResearchScientist
trackchange1|InstructionaltoClinicalorResearch|Instructional to Clinical or Research|Instructional|ResearchScientist|AssociateProfessorwithTenure|AssociateResearchScientist
trackchange1|InstructionaltoClinicalorResearch|Instructional to Clinical or Research|Instructional|ResearchScientist|ProfessorwithoutTenure|ResearchScientist
trackchange1|InstructionaltoClinicalorResearch|Instructional to Clinical or Research|Instructional|ResearchScientist|ProfessorwithTenure|ResearchScientist
trackchange2|ToSupplemental|To Supplemental|Clinical|SupplementalClinical|ClinicalInstructor|AdjunctClinicalInstructor
trackchange2|ToSupplemental|To Supplemental|Clinical|SupplementalClinical|ClinicalAssistantProfessor|AdjunctClinicalAssistantProfessor
trackchange2|ToSupplemental|To Supplemental|Clinical|SupplementalClinical|ClinicalAssociateProfessor|AdjunctClinicalAssociateProfessor
trackchange2|ToSupplemental|To Supplemental|Clinical|SupplementalClinical|ClinicalProfessor|AdjunctClinicalProfessor
trackchange2|ToSupplemental|To Supplemental|Instructional|SupplementalInstructional|AssistantProfessor|AdjunctAssistantProfessor
trackchange2|ToSupplemental|To Supplemental|Instructional|SupplementalInstructional|AssociateProfessorwithoutTenure|AdjunctAssociateProfessor
trackchange2|ToSupplemental|To Supplemental|Instructional|SupplementalInstructional|AssociateProfessorwithTenure|AdjunctAssociateProfessor
trackchange2|ToSupplemental|To Supplemental|Instructional|SupplementalInstructional|ProfessorwithoutTenure|AdjunctProfessor
trackchange2|ToSupplemental|To Supplemental|Instructional|SupplementalInstructional|ProfessorwithTenure|AdjunctProfessor
trackchange2|ToSupplemental|To Supplemental|ResearchProfessor|SupplementalResearchProfessor|ResearchAssistantProfessor|AdjunctResearchAssistantProfessor
trackchange2|ToSupplemental|To Supplemental|ResearchProfessor|SupplementalResearchProfessor|ResearchAssociateProfessor|AdjunctResearchAssociateProfessor
trackchange2|ToSupplemental|To Supplemental|ResearchProfessor|SupplementalResearchProfessor|ResearchProfessor|AdjunctResearchProfessor
trackchange2|ToSupplemental|To Supplemental|ResearchScientist|SupplementalResearchScientist|ResearchInvestigator|AdjunctResearchInvestigator
trackchange2|ToSupplemental|To Supplemental|ResearchScientist|SupplementalResearchScientist|AssistantResearchScientist|AdjunctAssistantResearchScientist
trackchange2|ToSupplemental|To Supplemental|ResearchScientist|SupplementalResearchScientist|AssociateResearchScientist|AdjunctAssociateResearchScientist
trackchange2|ToSupplemental|To Supplemental|ResearchScientist|SupplementalResearchScientist|ResearchScientist|AdjunctResearchScientist
trackchange3|ResearchAssistant|Research Assistant Professor / Assistant Research Scientist|ResearchProfessor|ResearchScientist|ResearchAssistantProfessor|AssistantResearchScientist
trackchange3|ResearchAssistant|Research Assistant Professor / Assistant Research Scientist|ResearchScientist|ResearchProfessor|AssistantResearchScientist|ResearchAssistantProfessor
