#code	descr	display_text	cols_offset	cols_label	repeating	repeating_table	required	wrap	filler	children
										
CPA10_Filler	Interpersonal and Communication Skills Filler	<b><u>Interpersonal and Communication Skills</u></b>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
CPA10_GROUP	Interpersonal and Communication Skills		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"CPA10_Filler,CPA10_SUBGROUP"
CPA10_SUBGROUP	CPA10_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA10_QUESTION,CPA10_COMMENT"
CPA11_Filler	Filler for Practice-Based Learning and Improvement	<b><u>Practice-Based Learning and Improvement</u></b>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
CPA11_GROUP	Practice-Based Learning and Improvement		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"CPA11_Filler,CPA11_SUBGROUP"
CPA11_SUBGROUP	Practice-Based Learning and Improvement SubGroup		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA11_QUESTION,CPA11_COMMENT"
CPA12_Filler	Filler for Professionalism	<u><b>Professionalism</b></u	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
CPA12_GROUP	Professionalism Main Group		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"CPA12_Filler,CPA12_SUBGROUP"
CPA12_SUBGROUP	Professionalism		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA12_QUESTION,CPA12_COMMENT"
CPA13_Filler	Systems-Based Practice Filler	<b><u>Systems-Based Practice</u></b>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
CPA13_GROUP	Systems-Based Practice		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"CPA13_Filler,CPA13_SUBGROUP"
CPA13_SUBGROUP	CPA13_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA13_QUESTION,CPA13_COMMENT"
CPA14_SUBGROUP	CPA14_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA14_QUESTION,CPA14_COMMENT"
CPA15_SUBGROUP	CPA15_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA15_QUESTION,CPA15_COMMENT"
CPA16_SUBGROUP	CPA16_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA16_QUESTION,CPA16_COMMENT"
CPA17_SUBGROUP	CPA17_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA17_QUESTION,CPA17_COMMENT"
CPA18_SUBGROUP	CPA18_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA18_QUESTION,CPA18_COMMENT"
