#question_code	code	descr	display_text	seq	show_codes	hide_codes
						
BC_SPECIALTY_TYPE	BC_SPECIALTY_TYPE_SPECIALITY	Board Certification Specialty Type Specialty	Specialty	1		
BC_SPECIALTY_TYPE	BC_SPECIALTY_TYPE_SUBSPECIALITY	Board Certification Specialty Type Subspecialty	Subspecialty	2		
CPA10_QUESTION	CPA10_OPT1	CPA10 agree	Agree	1		CPA10_COMMENT
CPA10_QUESTION	CPA10_OPT2	CPA10 disagree	Disagree	2	CPA10_COMMENT	
CPA10_QUESTION	CPA10_OPT3	CPA10 Unable to evaluate	Unable to Evaluate	3	CPA10_COMMENT	
CPA11_QUESTION	CPA11_AGREE	CPA11 agree	Agree	1		CPA11_COMMENT
CPA11_QUESTION	CPA11_DISAGREE	CPA11 Disagree	Disagree	2	CPA11_COMMENT	
CPA11_QUESTION	CPA11_UNABLE	CPA11 Unable	Unable to Evaluate	3	CPA11_COMMENT	
CPA12_QUESTION	CPA12_OPT1	CPA12 agree	Agree	1		CPA12_COMMENT
CPA12_QUESTION	CPA12_OPT2	CPA12 disagree	Disagree	2	CPA12_COMMENT	
CPA12_QUESTION	CPA12_OPT3	CPA12 unable to evalue	Unable to Evaluate	3	CPA12_COMMENT	
CPA13_QUESTION	CPA13_OPT1	CPA13 Agree	Agree	1		CPA13_COMMENT
CPA13_QUESTION	CPA13_OPT2	CPA13 Disagree	Disagree	2	CPA13_COMMENT	
CPA13_QUESTION	CPA13_OPT3	CPA13 Unable	Unable to Evaluate	3	CPA13_COMMENT	
CPA14_QUESTION	CPA14_OPT1	CPA14 good to excellen	Good to Excellent	1		CPA14_COMMENT
CPA14_QUESTION	CPA14_OPT2	CPA14 Acceptable	Acceptable	2		CPA14_COMMENT
CPA14_QUESTION	CPA14_OPT3	CPA14 Poor	Poor	3	CPA14_COMMENT	
CPA14_QUESTION	CPA14_OPT4	CPA14 Unable to Evaluate	Unable to Evaluate	4	CPA14_COMMENT	
CPA15_QUESTION	CPA15_OPT1	CPA15 Good	Good to Excellent	1		CPA15_COMMENT
CPA15_QUESTION	CPA15_OPT2	CPA15 Acceptable	Acceptable	2		CPA15_COMMENT
CPA15_QUESTION	CPA15_OPT3	CPA15 Poor	Poor	3	CPA15_COMMENT	
CPA15_QUESTION	CPA15_OPT4	CPA15_OPT4	Unable to Evaluate	4	CPA15_COMMENT	
CPA16_QUESTION	CPA16_OPT1	CPA16_OPT1 Good	Good to Excellent	1		CPA16_COMMENT
CPA16_QUESTION	CPA16_OPT2	CPA16_OPT2 Acceptable	Acceptable	2		CPA16_COMMENT
CPA16_QUESTION	CPA16_OPT3	CPA16_OPT3 Poor	Poor	3	CPA16_COMMENT	
CPA16_QUESTION	CPA16_OPT4	CPA16_OPT4 Unable to Evaluate	Unable to Evaluate	4	CPA16_COMMENT	
CPA17_QUESTION	CPA17_OPT1	CPA17 Good	Good to Excellent	1		CPA17_COMMENT
CPA17_QUESTION	CPA17_OPT2	CPA17 Acceptable	Acceptable	2		CPA17_COMMENT
