#Title Code|Track Code|Title Description|Position Criteria|Active|Rank Order|Is Actionable|Tags|
202140|StandardClinician|Assistant Professor|Standard_Assistant Professor_Clinician Focus.pdf|1|2|1||
201640|StandardClinician|Associate Professor |Standard_Associate Professor_Clinician Focus.pdf|1|3|1||
201140|StandardClinician|Professor |Standard_Professor_Clinician Focus.pdf|1|4|1||
203090|StandardClinician|Assistant Professor |Standard_Assistant Professor_Clinician-Investigator Focus.pdf|1|2|1||
202000|StandardClinician|Associate Professor |Standard_Associate Professor_Clinician-Investigator Focus.pdf|1|3|1||
201501|StandardClinician|Professor |Standard_Professor_Clinician-Investigator Focus.pdf|1|4|1||
201500|StandardClinician|Assistant Professor|Standard_Assistant Professor_Investigator Focus.pdf|1|2|1||
201001|StandardClinician|Associate Professor |Standard_Associate Professor_Investigator Focus.pdf|1|3|1||
201000|StandardClinician|Professor |Standard_Professor_Investigator Focus.pdf|1|4|1||
129530|StandardClinician|Assistant Professor |Standard_Assistant Professor_Clinician-Educator Focus.pdf|1|2|1||
129520|StandardClinician|Associate Professor|Standard_Associate Professor_Clinician-Educator Focus.pdf|1|3|1||
129500|StandardClinician|Professor  |Standard_Professor_Clinician-Educator Focus.pdf|1|4|1||
128900|StandardClinician|Assistant Professor |Standard_Assistant Professor_Educator Focus.pdf|1|2|1||
128920|StandardClinician|Associate Professor |Standard_Associate Professor_Educator Focus.pdf|1|3|1||
128940|StandardClinician|Professor |Standard_Professor_Educator Focus.pdf|1|4|1||
128960|StandardLibrarian|Assistant Professor |Standard_Assistant Professor_Librarian Focus.pdf|1|2|1||
202040|StandardLibrarian|Associate Professor |Standard_Associate Professor_Librarian Focus.pdf|1|3|1||
201540|StandardLibrarian|Professor |Standard_Professor_Librarian Focus.pdf|1|4|1||
201012|TenureTrackEducator|Assistant Professor |Tenure-Track_Assistant Professor_Investigator Focus.pdf|1|1|1||
201011|TenureTrackEducator|Associate Professor |Tenure-Track_Associate Professor_Investigator Focus.pdf|1|2|1||
201010|TenureTrackEducator|Associate Professor |Tenure-Track_Associate Professor_Investigator Focus.pdf|1|2|1||
201600|TenureTrackEducator|Professor |Tenure-Track_Professor_Investigator Focus.pdf|1|3|1||
202030|TenureTrackEducator|Assistant Professor |Tenure-Track_Assistant Professor_Educator Focus.pdf|1|1|1||
201530|TenureTrackEducator|Associate Professor |Tenure-Track_Associate Professor_Educator Focus.pdf|1|2|1||
202530|TenureTrackEducator|Associate Professor |Tenure-Track_Associate Professor_Educator Focus.pdf|1|2|1||
201030|TenureTrackEducator|Professor |Tenure-Track_Professor_Educator Focus.pdf|1|3|1||
201120|TenureTrackLibrarian|Assistant Professor |Tenure-Track_Assistant Professor_Librarian Focus.pdf|1|1|1||
201110|TenureTrackLibrarian|Associate Professor |Tenure-Track_Associate Professor_Librarian Focus.pdf|1|2|1||
201070|TenureTrackLibrarian|Associate Professor |Tenure-Track_Associate Professor_Librarian Focus.pdf|1|2|1||
202050|TenureTrackLibrarian|Professor |Tenure-Track_Professor_Librarian Focus.pdf|1|3|1||
