Title	Track	Workflow	Department	Faculty Affairs	Assistant Dean	Advisory Committee	Executive Committee	EVPMA	Provost	Vice President for Research	Regents
Clinical Instructor	Clinical	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
Clinical Instructor	Clinical	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clinical Instructor	Clinical	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clinical Assistant Professor	Clinical	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Clinical Assistant Professor	Clinical	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clinical Assistant Professor	Clinical	Promotion	Yes	Yes	No	Yes	Yes	No	No	No	No
Clinical Associate Professor            	Clinical	Appointment	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
Clinical Associate Professor            	Clinical	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clinical Associate Professor            	Clinical	Promotion	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
Clinical Professor                      	Clinical	Appointment	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
Clinical Professor                      	Clinical	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clinical Professor                      	Clinical	Promotion	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
Clinical Lecturer (Non GME)             	Clinical Lecturer          	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
Clinical Lecturer (Non GME)             	Clinical Lecturer          	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clinical Lecturer (Non GME)             	Clinical Lecturer          	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clinical Lecturer                       	Clinical Lecturer          	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
Clinical Lecturer                       	Clinical Lecturer          	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clinical Lecturer                       	Clinical Lecturer          	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Assistant Professor                     	Instructional              	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Assistant Professor                     	Instructional              	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Assistant Professor                     	Instructional              	Promotion	Yes	Yes	No	Yes	Yes	No	No	No	No
Associate Professor without Tenure      	Instructional              	Appointment	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
Associate Professor without Tenure      	Instructional              	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Associate Professor without Tenure      	Instructional              	Promotion	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
Associate Professor with Tenure         	Instructional              	Appointment	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
Associate Professor with Tenure         	Instructional              	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Associate Professor with Tenure         	Instructional              	Promotion	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
Professor without Tenure                	Instructional              	Appointment	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
Professor without Tenure                	Instructional              	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Professor without Tenure                	Instructional              	Promotion	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
Professor with Tenure                   	Instructional              	Appointment	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
Professor with Tenure                   	Instructional              	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Professor with Tenure                   	Instructional              	Promotion	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
LEO Lecturer I                          	Leo Lecturer               	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
