Title	Track	Workflow	Recent Significant Publications	Minimum	Maximum
Clinical Instructor	Clinical	Appointment	NA	NA	NA
Clinical Instructor	Clinical	Reappointment	NA	NA	NA
Clinical Instructor	Clinical	Promotion	NA	NA	NA
Clinical Assistant Professor	Clinical	Appointment	Yes	1	5
Clinical Assistant Professor	Clinical	Reappointment	NA	NA	NA
Clinical Assistant Professor	Clinical	Promotion	Yes	1	5
Clinical Associate Professor            	Clinical	Appointment	Yes	5	5
Clinical Associate Professor            	Clinical	Reappointment	NA	NA	NA
Clinical Associate Professor            	Clinical	Promotion	Yes	5	5
Clinical Professor                      	Clinical	Appointment	Yes	5	5
Clinical Professor                      	Clinical	Reappointment	NA	NA	NA
Clinical Professor                      	Clinical	Promotion	Yes	5	5
Clinical Lecturer (Non GME)             	Clinical Lecturer          	Appointment	NA	NA	NA
Clinical Lecturer (Non GME)             	Clinical Lecturer          	Reappointment	NA	NA	NA
Clinical Lecturer (Non GME)             	Clinical Lecturer          	Promotion	NA	NA	NA
Clinical Lecturer                       	Clinical Lecturer          	Appointment	NA	NA	NA
Clinical Lecturer                       	Clinical Lecturer          	Reappointment	NA	NA	NA
Clinical Lecturer                       	Clinical Lecturer          	Promotion	NA	NA	NA
Assistant Professor                     	Instructional              	Appointment	Yes	5	5
Assistant Professor                     	Instructional              	Reappointment	NA	NA	NA
Assistant Professor                     	Instructional              	Promotion	Yes	5	5
Associate Professor without Tenure      	Instructional              	Appointment	Yes	5	5
Associate Professor without Tenure      	Instructional              	Reappointment	NA	NA	NA
Associate Professor without Tenure      	Instructional              	Promotion	Yes	5	5
Associate Professor with Tenure         	Instructional              	Appointment	Yes	5	5
Associate Professor with Tenure         	Instructional              	Reappointment	NA	NA	NA
Associate Professor with Tenure         	Instructional              	Promotion	Yes	5	5
Professor without Tenure                	Instructional              	Appointment	Yes	5	5
Professor without Tenure                	Instructional              	Reappointment	NA	NA	NA
Professor without Tenure                	Instructional              	Promotion	Yes	5	5
Professor with Tenure                   	Instructional              	Appointment	Yes	5	5
Professor with Tenure                   	Instructional              	Reappointment	NA	NA	NA
Professor with Tenure                   	Instructional              	Promotion	Yes	5	5
LEO Lecturer I                          	Leo Lecturer               	Appointment	NA	NA	NA
LEO Lecturer I                          	Leo Lecturer               	Reappointment	NA	NA	NA
LEO Lecturer I                          	Leo Lecturer               	Promotion	NA	NA	NA
LEO Lecturer II                         	Leo Lecturer               	Appointment	NA	NA	NA
LEO Lecturer II                         	Leo Lecturer               	Reappointment	NA	NA	NA
LEO Lecturer II                         	Leo Lecturer               	Promotion	NA	NA	NA
LEO Lecturer III                        	Leo Lecturer               	Appointment	NA	NA	NA
LEO Lecturer III                        	Leo Lecturer               	Reappointment	NA	NA	NA
LEO Lecturer III                        	Leo Lecturer               	Promotion	NA	NA	NA
LEO Lecturer IV                         	Leo Lecturer               	Appointment	NA	NA	NA
LEO Lecturer IV                         	Leo Lecturer               	Reappointment	NA	NA	NA
LEO Lecturer IV                         	Leo Lecturer               	Promotion	NA	NA	NA
Research Investigator                   	Research                   	Appointment	NA	NA	NA
Research Investigator                   	Research                   	Reappointment	NA	NA	NA
Research Investigator                   	Research                   	Promotion	NA	NA	NA
Assistant Research Scientist            	Research                   	Appointment	Yes	5	5
Assistant Research Scientist            	Research                   	Reappointment	NA	NA	NA
Assistant Research Scientist            	Research                   	Promotion	Yes	5	5
Research Assistant Professor            	Research                   	Appointment	Yes	5	5
Research Assistant Professor            	Research                   	Reappointment	NA	NA	NA
Research Assistant Professor            	Research                   	Promotion	Yes	5	5
Associate Research Scientist            	Research                   	Appointment	Yes	5	5
Associate Research Scientist            	Research                   	Reappointment	NA	NA	NA
Associate Research Scientist            	Research                   	Promotion	Yes	5	5
Research Associate Professor            	Research                   	Appointment	Yes	5	5
Research Associate Professor            	Research                   	Reappointment	NA	NA	NA
Research Associate Professor            	Research                   	Promotion	Yes	5	5
Research Scientist                      	Research                   	Appointment	Yes	5	5
Research Scientist                      	Research                   	Reappointment	NA	NA	NA
Research Scientist                      	Research                   	Promotion	Yes	5	5
Research Professor                      	Research                   	Appointment	Yes	5	5
Research Professor                      	Research                   	Reappointment	NA	NA	NA
Research Professor                      	Research                   	Promotion	Yes	5	5
Adjunct Physician Instructor            	Supplemental Clinical      	Appointment	NA	NA	NA
Adjunct Physician Instructor            	Supplemental Clinical      	Reappointment	NA	NA	NA
Adjunct Physician Instructor            	Supplemental Clinical      	Promotion	NA	NA	NA
Adjunct Clinical Instructor             	Supplemental Clinical      	Appointment	NA	NA	NA
Adjunct Clinical Instructor             	Supplemental Clinical      	Reappointment	NA	NA	NA
Adjunct Clinical Instructor             	Supplemental Clinical      	Promotion	NA	NA	NA
Visiting Clinical Instructor             	Supplemental Clinical      	Appointment	NA	NA	NA
Visiting Clinical Instructor             	Supplemental Clinical      	Reappointment	NA	NA	NA
Visiting Clinical Instructor             	Supplemental Clinical      	Promotion	NA	NA	NA
Clinical Assistant Professor Emeritus/A 	Supplemental Clinical      	Appointment	NA	NA	NA
Clinical Assistant Professor Emeritus/A 	Supplemental Clinical      	Reappointment	NA	NA	NA
Clinical Assistant Professor Emeritus/A 	Supplemental Clinical      	Promotion	NA	NA	NA
Visiting Clinical Assistant Professor   	Supplemental Clinical      	Appointment	Yes	1	5
Visiting Clinical Assistant Professor   	Supplemental Clinical      	Reappointment	NA	NA	NA
Visiting Clinical Assistant Professor   	Supplemental Clinical      	Promotion	NA	NA	NA
Adjunct Clinical Assistant Professor    	Supplemental Clinical      	Appointment	Yes	1	5
Adjunct Clinical Assistant Professor    	Supplemental Clinical      	Reappointment	NA	NA	NA
Adjunct Clinical Assistant Professor    	Supplemental Clinical      	Promotion	Yes	1	5
Visiting Clinical Associate Professor    	Supplemental Clinical      	Appointment	Yes	5	5
Visiting Clinical Associate Professor    	Supplemental Clinical      	Reappointment	NA	NA	NA
Visiting Clinical Associate Professor    	Supplemental Clinical      	Promotion	NA	NA	NA
Clinical Associate Professor Emeritus   	Supplemental Clinical      	Appointment	NA	NA	NA
Clinical Associate Professor Emeritus   	Supplemental Clinical      	Reappointment	NA	NA	NA
Clinical Associate Professor Emeritus   	Supplemental Clinical      	Promotion	NA	NA	NA
Adjunct Clinical Associate Professor    	Supplemental Clinical      	Appointment	Yes	5	5
Adjunct Clinical Associate Professor    	Supplemental Clinical      	Reappointment	NA	NA	NA
Adjunct Clinical Associate Professor    	Supplemental Clinical      	Promotion	Yes	5	5
Clinical Professor Emeritus/A           	Supplemental Clinical      	Appointment	NA	NA	NA
Clinical Professor Emeritus/A           	Supplemental Clinical      	Reappointment	NA	NA	NA
Clinical Professor Emeritus/A           	Supplemental Clinical      	Promotion	NA	NA	NA
Adjunct Clinical Professor              	Supplemental Clinical      	Appointment	Yes	5	5
Adjunct Clinical Professor              	Supplemental Clinical      	Reappointment	NA	NA	NA
Adjunct Clinical Professor              	Supplemental Clinical      	Promotion	Yes	5	5
Visiting Clinical Professor              	Supplemental Clinical      	Appointment	Yes	5	5
Visiting Clinical Professor              	Supplemental Clinical      	Reappointment	NA	NA	NA
Visiting Clinical Professor              	Supplemental Clinical      	Promotion	NA	NA	NA
Adjunct Instructor                      	Supplemental Instructional 	Appointment	NA	NA	NA
Adjunct Instructor                      	Supplemental Instructional 	Reappointment	NA	NA	NA
Adjunct Instructor                      	Supplemental Instructional 	Promotion	NA	NA	NA
Visiting Instructor                     	Supplemental Instructional 	Appointment	NA	NA	NA
Visiting Instructor                     	Supplemental Instructional 	Reappointment	NA	NA	NA
Visiting Instructor                     	Supplemental Instructional 	Promotion	NA	NA	NA
Assistant Professor Emeritus/A          	Supplemental Instructional 	Appointment	NA	NA	NA
Assistant Professor Emeritus/A          	Supplemental Instructional 	Reappointment	NA	NA	NA
Assistant Professor Emeritus/A          	Supplemental Instructional 	Promotion	NA	NA	NA
Visiting Assistant Professor     	Supplemental Instructional 	Appointment	Yes	5	5
Visiting Assistant Professor     	Supplemental Instructional 	Reappointment	NA	NA	NA
Visiting Assistant Professor     	Supplemental Instructional 	Promotion	NA	NA	NA
Adjunct Assistant Professor             	Supplemental Instructional 	Appointment	Yes	5	5
Adjunct Assistant Professor             	Supplemental Instructional 	Reappointment	NA	NA	NA
Adjunct Assistant Professor             	Supplemental Instructional 	Promotion	Yes	5	5
Visiting Associate Professor            	Supplemental Instructional 	Appointment	Yes	5	5
Visiting Associate Professor            	Supplemental Instructional 	Reappointment	NA	NA	NA
