#site|community|mpsuser|role

accept-umich|default|mpsadmin|siteAdmin
accept-umich|default|mpsadmin|communityAdmin
accept-umich|default|mpsadmin|prefAdmin
accept-umich|default|mpsadmin|roleAdmin
accept-umich|default|mpsadmin|userAdmin
accept-umich|default|mpsadmin|sessionAdmin
accept-umich|default|mpsadmin|dbAdmin

accept-umich|default|mpsadmin|apptDeptUser
accept-umich|default|mpsadmin|apptFacultyAffairs
accept-umich|default|mpsadmin|apptViewAsCandidate
accept-umich|default|mpsadmin|apptAssitantDean
accept-umich|default|mpsadmin|apptMedicalStaffServices
accept-umich|default|mpsadmin|apptProviderEnrollment
accept-umich|default|mpsadmin|apptFieldRevisions
accept-umich|default|mpsadmin|cbcView
accept-umich|default|mpsadmin|cbcAdmin
accept-umich|default|mpsadmin|cbcStatus
accept-umich|default|mpsadmin|apptMpsAdmin
accept-umich|default|mpsadmin|apptSiteAdmin

accept-umich|default|mpsguru|siteAdmin
accept-umich|default|mpsguru|communityAdmin
accept-umich|default|mpsguru|prefAdmin
accept-umich|default|mpsguru|roleAdmin
accept-umich|default|mpsguru|userAdmin
accept-umich|default|mpsguru|sessionAdmin
accept-umich|default|mpsguru|dbAdmin
accept-umich|default|mpsguru|unrestrictedAdmin

accept-umich|default|mpsguru|apptDeptUser
accept-umich|default|mpsguru|apptFacultyAffairs
accept-umich|default|mpsguru|apptViewAsCandidate
accept-umich|default|mpsguru|apptAssitantDean
accept-umich|default|mpsguru|apptMedicalStaffServices
accept-umich|default|mpsguru|apptProviderEnrollment
accept-umich|default|mpsguru|apptFieldRevisions
accept-umich|default|mpsguru|cbcStatus
accept-umich|default|mpsguru|apptMpsGuru

accept-umich|default|dept1|apptDeptUser
accept-umich|default|dept2|apptDeptUser
accept-umich|default|dept3|apptDeptUser
accept-umich|default|dept1|apptViewAsCandidate
accept-umich|default|dept2|apptViewAsCandidate
accept-umich|default|dept3|apptViewAsCandidate

accept-umich|default|ofa|apptFacultyAffairs
accept-umich|default|ofa|apptViewAsCandidate
accept-umich|default|ofa|cbcView

accept-umich|default|ofaadmin|apptFacultyAffairs
accept-umich|default|ofaadmin|apptViewAsCandidate
accept-umich|default|ofaadmin|cbcStatus
accept-umich|default|ofaadmin|apptSiteAdmin

accept-umich|default|mss|apptMedicalStaffServices
accept-umich|default|enrollment|apptProviderEnrollment
