#site|community|user|application|sequencenbr
demo|default|buffy|CV|1
demo|default|chris|CV|1
demo|default|chris|APPT|2
demo|default|eric|APPT|1
demo|default|eric|MPSADMIN|2
demo|default|eric|CV|4
demo|default|eric|IMM|3
demo|default|greg|MPSADMIN|2
demo|default|greg|APPT|1
demo|default|greg|IMM|4
demo|default|greg|CV|3
demo|default|josh|MPSADMIN|2
demo|default|josh|CV|1
demo|default|mpsadmin|MPSADMIN|1
demo|default|mpsadmin|APPT|3
demo|default|mpsadmin|IMM|4
demo|default|mpsadmin|CV|2
demo|default|mpsguru|MPSADMIN|1
demo|default|mpsguru|APPT|3
demo|default|mpsguru|IMM|4
demo|default|mpsguru|CV|2
demo|default|rider|MPSADMIN|4
demo|default|rider|APPT|2
demo|default|rider|IMM|3
demo|default|rider|CV|1
demo|default|dave|CV|1
demo|default|kchung|CV|1
demo|default|mgyetko|CV|1
demo|default|dkomorow|CV|2
demo|default|dkomorow|APPT|1
demo|default|kleahy|CV|1
demo|default|kleahy|APPT|2
demo|default|darshe|APPT|1
demo|default|maria|APPT|1
demo|default|dean|APPT|1
demo|default|renee|APPT|1
demo|default|ellen|APPT|1

demo|default|hilrk|APPT|1
demo|default|sulaz|APPT|1
demo|default|robmk|APPT|1
demo|default|ddd|APPT|1
