#site|community|mpsuser|role

engin-umich|default|mpsadmin|siteAdmin
engin-umich|default|mpsadmin|communityAdmin
engin-umich|default|mpsadmin|prefAdmin
engin-umich|default|mpsadmin|roleAdmin
engin-umich|default|mpsadmin|userAdmin
engin-umich|default|mpsadmin|sessionAdmin
engin-umich|default|mpsadmin|unrestrictedAdmin
engin-umich|default|mpsadmin|cvAdmin
engin-umich|default|mpsadmin|cvEditor
engin-umich|default|mpsadmin|cvReader
engin-umich|default|mpsadmin|cvUser
engin-umich|default|mpsadmin|cvExport

engin-umich|default|user1|cvUser
engin-umich|default|user2|cvUser
engin-umich|default|user3|cvUser
engin-umich|default|user4|cvUser
engin-umich|default|user5|cvUser
engin-umich|default|myself|cvUser

engin-umich|default|mpsadmin|apptDeptUser
engin-umich|default|mpsadmin|apptFacultyAffairs
engin-umich|default|mpsadmin|apptViewAsCandidate
engin-umich|default|mpsadmin|cbcStatus
engin-umich|default|mpsadmin|apptMpsAdmin

engin-umich|default|faculty|facultyUser
engin-umich|default|rpm|rpmUser
engin-umich|default|ofa|apptFacultyAffairs
engin-umich|default|dept|apptDeptUser
