#site|community|user|application|sequencenbr
med-oakland|default|mpsadmin|MPSADMIN|1
med-oakland|default|mpsadmin|CV|2
med-oakland|default|mpsadmin|APPT|3
med-oakland|default|bindmountainpass|MPSADMIN|1
med-oakland|default|bindmountainpass|CV|2

med-oakland|default|user1|CV|1
med-oakland|default|user2|CV|1
med-oakland|default|user3|CV|1
med-oakland|default|user4|CV|1
med-oakland|default|user5|CV|1
med-oakland|default|user1|APPT|2
med-oakland|default|user2|APPT|2
med-oakland|default|user3|APPT|2
med-oakland|default|user4|APPT|2
med-oakland|default|user5|APPT|2

med-oakland|default|pitts|CV|1
med-oakland|default|jmdewitt|CV|1
med-oakland|default|bjdecem2|CV|1
med-oakland|default|chall23|CV|1
med-oakland|default|terrien|CV|1
med-oakland|default|french|CV|1
med-oakland|default|edwilson|CV|1

med-oakland|default|ofa|APPT|1
med-oakland|default|ofa|CV|2
med-oakland|default|dept|APPT|1
med-oakland|default|ofa|CV|2

med-oakland|default|cred|APPT|1
med-oakland|default|dcapt|APPT|1
med-oakland|default|dcaptchair|APPT|1
med-oakland|default|capt|APPT|1
med-oakland|default|provost|APPT|1
