#site|community|mpsuser|role

shib|default|mpsadmin|siteAdmin
shib|default|mpsadmin|communityAdmin
shib|default|mpsadmin|prefAdmin
shib|default|mpsadmin|roleAdmin
shib|default|mpsadmin|userAdmin
shib|default|mpsadmin|sessionAdmin
shib|default|mpsadmin|unrestrictedAdmin
shib|default|mpsadmin|cvAdmin
shib|default|mpsadmin|cvEditor
shib|default|mpsadmin|cvReader
shib|default|mpsadmin|cvUser
shib|default|mpsadmin|cvExport

shib|default|user1|cvUser
shib|default|user2|cvUser
shib|default|user3|cvUser
shib|default|user4|cvUser
shib|default|user5|cvUser
shib|default|myself|cvUser

shib|default|mpsadmin|apptDeptUser
shib|default|mpsadmin|apptFacultyAffairs
shib|default|mpsadmin|apptViewAsCandidate
shib|default|mpsadmin|cbcStatus
shib|default|mpsadmin|apptMpsAdmin
