#site|community|user|application|sequencenbr
umms|default|buffy|CV|1
umms|default|chris|CV|1
umms|default|chris|APPT|2
umms|default|eric|APPT|1
umms|default|eric|MPSADMIN|2
umms|default|eric|CV|4
umms|default|eric|IMM|3
umms|default|greg|MPSADMIN|2
umms|default|greg|APPT|1
umms|default|greg|IMM|4
umms|default|greg|CV|3
umms|default|josh|MPSADMIN|2
umms|default|josh|CV|1
umms|default|mpsadmin|MPSADMIN|1
umms|default|mpsadmin|APPT|3
umms|default|mpsadmin|IMM|4
umms|default|mpsadmin|CV|2
umms|default|rider|MPSADMIN|4
umms|default|rider|APPT|2
umms|default|rider|IMM|3
umms|default|rider|CV|1
umms|default|dave|CV|1
umms|default|kchung|CV|1
umms|default|mgyetko|CV|1
umms|default|dkomorow|CV|2
umms|default|dkomorow|APPT|1
umms|default|gawd|APPT|1
umms|default|gawd|CV|2
umms|default|gawd|MPSADMIN|3
umms|default|gawd|IMM|4
umms|default|kleahy|CV|1
umms|default|kleahy|APPT|2
umms|default|darshe|APPT|1
umms|default|maria|APPT|1
umms|default|dean|APPT|1
umms|default|renee|APPT|1
umms|default|ellen|APPT|1
