#code	description	parent_code	exclude_from_cv_display	user_sortable	list_display_mode_id	detail_display_mode_id	display_options
#ordered list - sequences will be generated							(numberedlist)
							
Demographics	Personal Info		FALSE	FALSE	ListSingleEntry	DetailSingleEntry	
EduTraining	Education & Training		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
EduTrainingEducation	Education	EduTraining	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
EduTrainingPostDoctoral	Postdoctoral Training	EduTraining	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
EduTrainingAdditional	Additional Training	EduTraining	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
CertLicense	Certification & Licensure		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
Certification	Certification	CertLicense	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
Licensure	Licensure	CertLicense	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
Appointments	Appointments		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
HonorsAwardsPrizes	"Honors, Awards & Prizes"		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
GrantsContracts	Grants & Contracts		FALSE	TRUE	ListBySubcategoryGroup	DetailByFieldGroup	
ProfSocieties	Professional Societies		FALSE	FALSE	ListSingleList	DetailByFieldGroup	
Patents	Patents		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
EditorialPositions	Editorial Positions		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
StudySections	Study Sections	EditorialPositions	FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
EditorialBoards	Editorial Boards	EditorialPositions	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
JournalReviewers	Journal Reviewer	EditorialPositions	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
Trainee	Teaching		TRUE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
TeachingActivity	Teaching Activity		TRUE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
DissertationCommittee	Dissertation Committee	TeachingActivity	TRUE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
Teaching	Teaching Activity	TeachingActivity	TRUE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
CommitteeAdmin	Committee & Administrative		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
CommitteeBoards	Committee & Boards	CommitteeAdmin	FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
VolunteerService	Volunteer Service	CommitteeAdmin	FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
VisitingProfessorships	Visiting Professorships		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
BibliographyPublications	Bibliography / Publications		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
PeerReviewed	Peer Reviewed	BibliographyPublications	FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	numberedlist
NonPeerReviewed	Non-Peer Reviewed	BibliographyPublications	FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	numberedlist
Books	Books	BibliographyPublications	FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	numberedlist
BookChapters	Book Chapters	BibliographyPublications	FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	numberedlist
Abstracts	Abstracts	BibliographyPublications	FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	numberedlist
OtherMediaDetails	Other Media Details	BibliographyPublications	FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	numberedlist
