#category	field group code	field group description
#ordered list - sequences will be generated		
Demographics	FacultyDemographics	Faculty Name
		
EduTrainingEducation	EduTrainingEducationEducation	Education
EduTrainingEducation	EduTrainingEducationInstitution	Institution
EduTrainingEducation	EduTrainingEducationDates	Dates
		
EduTrainingPostDoctoral	EduTrainingPostDoctoralTraining	Training
EduTrainingPostDoctoral	EduTrainingPostDoctoralInstitution	Institution
EduTrainingPostDoctoral	EduTrainingPostDoctoralDates	Dates
		
EduTrainingAdditional	EduTrainingAdditionalEducation	Education / Training
EduTrainingAdditional	EduTrainingAdditionalInstitution	Institution
EduTrainingAdditional	EduTrainingAdditionallDates	Dates
		
Certification	Certification	Certification
Certification	CertificationDates	Dates
		
Licensure	License	License
Licensure	LicenseDates	Dates
		
Appointments	AppointmentsExperience	Experience
Appointments	AppointmentsInstitution	Institution
Appointments	AppointmentsDates	Dates
		
HonorsAwardsPrizes	HonorsAwardsPrizes	"Honors, Awards, & Prizes"
HonorsAwardsPrizes	HonorsAwardsPrizesDates	Dates
		
GrantsContracts	GrantsContracts	Grant
GrantsContracts	GrantsContractsDates	Dates
		
ProfSocieties	ProfSocieties	Professional Societies
ProfSocieties	ProfSocietiesDates	Dates
		
Patents	Patents	Patents
		
EditorialBoards	EditorialBoards	Editorial Boards
EditorialBoards	EditorialBoardsDates	Dates
JournalReviewers	JournalReviewers	Journal Reviewer
JournalReviewers	JournalReviewersDates	Dates
StudySections	StudySections	Study Sections
StudySections	StudySectionsDates	Dates
		
Trainee	TraineeTrainee	Trainee
Trainee	TraineeInstitution	Institution
Trainee	TraineeDates	Dates
DissertationCommittee	DissertationCommitteeStudent	Student
DissertationCommittee	DissertationCommitteeInstitution	Institution
Teaching	TeachingTeachingActivity	Teaching Activity
Teaching	TeachingTeachingDates	Dates
		
VisitingProfessorships	VisitingProfessorshipsDetails	Details
VisitingProfessorships	VisitingProfessorshipsLocation	Location
VisitingProfessorships	VisitingProfessorshipsDates	Dates
		
CommitteeBoards	CommitteeBoardsOrganization	Organization
CommitteeBoards	CommitteeBoardsDates	Dates
VolunteerService	VolunteerServiceOrganization	Organization
VolunteerService	VolunteerServiceDates	Dates
		
PeerReviewed	PeerReviewedJournalsPubs	Journals and Publications
NonPeerReviewed	NonPeerReviewedJournalsPubs	Journals and Publications
Books	BooksBookDetails	Book Details
BookChapters	BookChaptersDetails	Book Chapter
Abstracts	Abstracts	Abstracts
OtherMediaDetails	OtherMediaDetails	Othe Media Details
