#code	description	parent_code	exclude_from_cv_display	user_sortable	list_display_mode_id	detail_display_mode_id	display_options
#ordered list - sequences will be generated							(numberedlist)
							
Demographics	Personal Info		FALSE	FALSE	ListSingleEntry	DetailSingleEntry	
EduTraining	Education & Training		FALSE	FALSE	ListSingleEntry	DetailByFieldGroup	
EduTrainingEducation	Education	EduTraining	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
EduTrainingPostDoctoral	Postdoctoral Training	EduTraining	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
EduTrainingAdditional	Additional Training	EduTraining	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
#AdvancedTraining	Education & Advanced Training	EduTraining	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
							
CertLicense	Certificates And Licenses		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
Certification	Certification	CertLicense	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
Licensure	Licensure	CertLicense	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
							
Appointments	Appointments		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
							
HonorsAwardsPrizes	Honors And Professional Awards		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
ProfSocieties	Professional & Research Societies		FALSE	FALSE	ListSingleList	DetailByFieldGroup	
							
ScholarshipInterests	Scholarship Interests		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
ScholarshipClinical	Clinical Interests	ScholarshipInterests	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
ScholarshipResearch	Research Interests	ScholarshipInterests	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
							
Grants	Grants & Contracts		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
							
BibliographyPublications	Bibliography		FALSE	FALSE	ListSingleList	DetailByFieldGroup	
PeerReviewed	Peer Reviewed Journals and Publications	BibliographyPublications	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
SubmittedManuscripts	Submitted Manuscripts	BibliographyPublications	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
AcceptedManuscripts	Accepted Manuscripts	BibliographyPublications	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
Books	Books	BibliographyPublications	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
BookChapters	Book Chapters	BibliographyPublications	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
Abstracts	Abstracts	BibliographyPublications	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
OtherMediaDetails	Other	BibliographyPublications	FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	numberedlist
							
Patents	Patents		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
							
InvTeaching	Invited Research Seminars & Presentations		FALSE	FALSE	ListSingleList	DetailByFieldGroup	
InvTeachingProf	Invited Presentations at Professional Meetings	InvTeaching	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
InvTeachingMich	Invited Presenations at University of Michigan	InvTeaching	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
InvTeachingOther	Invited Presentations Other	InvTeaching	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
							
TeachingActivity	Teaching Activity		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
TeachCoursesTaught	Courses	TeachingActivity	FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
TeachStudentResearch	Mentorship / Student Research Advisement	TeachingActivity	FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
TeachPostdocTrainees	Postdoctoral Trainees	TeachingActivity	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
TeachContTaught	Continuing Education Courses Taught	TeachingActivity	FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
							
Service	Service		FALSE	FALSE	ListSingleList	DetailByFieldGroup	
AdminAppointments	Administrative Service	Service	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
DepartmentCom	Department Committees	Service	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
SchoolCom	School Committees	Service	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
UniversityCom	University Committees	Service	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
NationalCom	National Committees	Service	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
InternationalCom	International Committees	Service	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
DissertationCom	Dissertation / Thesis Committees	Service	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
ClinicalAndPatientCare	Clinical and Patient Care	Service	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
ClinVolService	Clinic Volunteer Service	Service	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
							
EdBoardsA	Editorial Boards & Peer Review Service		FALSE	FALSE	ListSingleList	DetailByFieldGroup	
EdBoards	Editoral Boards	EdBoardsA	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
EdBoardsBook	Book Reviewer	EdBoardsA	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
EdBoardsManu	Manuscript Reviewer	EdBoardsA	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
EdBoardsReviewer	Grant Reviewer	EdBoardsA	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
							
ContinuingEdu	Continuing Education Courses Taken		FALSE	FALSE	ListSingleList	DetailByFieldGroup	
