#category	subcategory group code	subcategory group description
#ordered list - sequences will be generated		
		
Demographics	Demographics	Personal Info
		
EduTrainingEducation	EduTrainingEducation	Education
EduTrainingPostDoctoral	EduTrainingPostDoctoral	PostDoctoral Training
EduTrainingAdditional	EduTrainingAdditional	Additional Training
		
Certification	Certification	Certification
Licensure	Licensure	Licensure
		
Appointments	AppointmentsAcademic	Academic
Appointments	AppointmentsAdministrative	Administrative
Appointments	AppointmentsNonAcademic	Non-Academic
Appointments	AppointmentsMilitary	Military
		
HonorsAwardsPrizes	HonorsInternational	International
HonorsAwardsPrizes	HonorsNational	National
HonorsAwardsPrizes	HonorsRegional	Regional
HonorsAwardsPrizes	HonorsInstitutional	Institutional
		
ProfSocieties	ProfSocieties	Professional Societies
		
ScholarshipClinical	ScholarshipClinical	Clinical
ScholarshipResearch	ScholarshipResearch	Research
		
Grants	GrantsCurrent	Current Grants
Grants	GrantsPast	Past Grants
Grants	GrantsPending	Submitted Grants
Grants	GrantsContracts	Current Contracts
Grants	GrantsPastC	Past Contracts
Grants	GrantsSubC	Submitted Contracts
		
PeerReviewed	PeerReviewed	Peer Reviewed Journals and Publications
SubmittedManuscripts	SubmittedManuscripts	Submitted Manuscripts
AcceptedManuscripts	AcceptedManuscripts	Accepted Manuscripts
Books	Books	Books
BookChapters	BookChapters	Book Chapters
Abstracts	Abstracts	Abstracts
OtherMediaDetails	OtherMediaBookReview	Book review
OtherMediaDetails	OtherMediaOrigContrib	Original contributions
OtherMediaDetails	OtherMediaPodcast	Podcast
OtherMediaDetails	OtherMediaSoftware	Software
OtherMediaDetails	OtherMediaWebsite	Web site
OtherMediaDetails	OtherMediaOther	Other
		
Patents	PatentsIssued	Issued
Patents	PatentsPending	Pending
		
InvTeachingProf	InvTeachingProf	Invited Presntations at Professional Meetings
InvTeachingMich	InvTeachingMich	Invited Presenations at University of Michigan
InvTeachingOther	InvTeachingOther	Other
		
TeachCoursesTaught	TeachCoursesTaughtInter	International
TeachCoursesTaught	TeachCoursesTaughtNat	National
TeachCoursesTaught	TeachCoursesTaughtState	State / Community
TeachCoursesTaught	TeachCoursesTaughtSchool	School / Institution
		
TeachStudentResearch	TeachStudentPhD	PhD
TeachStudentResearch	TeachStudentGrad	Graduate Student
TeachStudentResearch	TeachStudentVisit	Visiting Scholars
TeachStudentResearch	TeachStudentUndergrad	Undergraduate Students
TeachStudentResearch	TeachStudentsOther	Other
		
TeachPostdocTrainees	TeachPostdocTrainees	Postdoctoral Trainees
		
TeachContTaught	TeachContTaughtInter	International
TeachContTaught	TeachContTaughtNat	National
TeachContTaught	TeachContTaughtState	State / Community
TeachContTaught	TeachContTaughtSchool	School / Institution
		
AdminAppointments	AdminAppointments	Administrative Service
DepartmentCom	DepartmentCom	Department Committees
SchoolCom	SchoolCom	School Committees
UniversityCom	UniversityCom	University Committees
NationalCom	NationalCom	National Committees
InternationalCom	InternationalCom	International Committees
DissertationCom	DissertationCom	Dissertation / Thesis Committees
ClinicalAndPatientCare	ClinicalAndPatientCare	Clinical and Patient Care
ClinVolService	ClinVolService	Clinic Volunteer Service
		
EdBoards	EdBoards	Editorial Boards
EdBoardsBook	EdBoardsBook	Book Reviewer
EdBoardsManu	EdBoardsManu	Manuscript Reviewer
EdBoardsReviewer	EdBoardsReviewer	Grant Reviewer
		
ContinuingEdu	ContinuingEdu	Continuing Education Courses Taken
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
