#code	description	parent_code	exclude_from_cv_display	user_sortable	list_display_mode_id	detail_display_mode_id	display_options
#ordered list - sequences will be generated							(numberedlist)
							
Demographics	Personal Info		FALSE	FALSE	ListSingleEntry	DetailSingleEntry	
Education	Education		FALSE	FALSE	ListSingleList	DetailByFieldGroup	
Appointments	Appointments		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
HonorsAwards	Honors and Awards		FALSE	FALSE	ListBySubcategoryGroup	DetailByFieldGroup	
TeachingActivity	Teaching		FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
TeachingActivityNew	Courses Introduced at UM	TeachingActivity	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
TeachingActivityUofM	Taught at Michigan	TeachingActivity	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
TeachingStudentsDissertation	Ph.D. Committee Membership	TeachingActivity	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
TeachingStudentsMasters	M.S. students Advised/Co-Advised	TeachingActivity	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
TeachingStudentsUndergrad	Undergraduate Major Projects Directed	TeachingActivity	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
TeachingStudentsWorkshops	Short Courses and Workshops Taught	TeachingActivity	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
TeachingStudentsOutreach	Outreach Directly Related to Teaching	TeachingActivity	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
TeachingStudentsScholar	Other: Scholarly Work in Education	TeachingActivity	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
Research	Research		FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
ResearchPrograms	Research Programs Underway	Research	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
PastGrantContracts	Past Grants & Contracts	Research	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
CurrentGrantsContracts	Current Grants & Contracts	Research	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
ResearchNewDirections	New Research Directions	Research	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
PendingGrantsContracts	Pending Grants & Contracts	Research	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
BibPub	Publications and Scholarly Presentations		FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
BibPubPub	Publications - Refereed 	BibPub	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
BibPubShort	Shorter Communications - Refereed	BibPub	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
BibPubPapers	Proceeding Papers - Refereed	BibPub	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
BibPubAbstractR	Refereed conference or symposium proceedings papers	BibPub	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
BibPubAbstractNR	Abstracts - Non-Refereed	BibPub	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
BibPubBooks	Books	BibPub	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
BibPubChapters	Chapters in Books	BibPub	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
BibPubBookReviews	Book Reviews	BibPub	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
BibPubGov	"Government, University, or Industrial Reports - Non-Refereed"	BibPub	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
BibPubPopularPress	Publications in Popular Press/Magazines	BibPub	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
BibPubOther	Other Submitted Publications	BibPub	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
BibPubInvitedPres	Invited Presentations	BibPub	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
TechTransfer	Technology Transfer and Entrepreneurship		FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
TechTransferPatents	US and International Patents	TechTransfer	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
TechTransferProvPatents	Provisional Patents & Patents Pending	TechTransfer	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
TechTransferInventionDisc	Invention Disclosures Submitted	TechTransfer	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
TechTransferLisc	Liscensing and Technology Transfer	TechTransfer	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
TechTransferStartups	Startups and Entrepreneurial Activities	TechTransfer	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
TechTransferOtherTech	Other Major Technology Transfer Activities	TechTransfer	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
TechTransferIndustry	Industry Interactions	TechTransfer	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
TechTransferOutreach	Outreach Directly Related to Research	TechTransfer	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
TechTransferOther	Other	TechTransfer	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
Service	Service		FALSE	FALSE	ListSingleList	DetailByFieldGroup	
ServiceCommittee	Major Committee Assignments	Service	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
ServiceAdmin	Administrative Duties	Service	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
ServiceProfessional	External Service	Service	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
ServiceClimate	Contribution to Diversity and Climate	Service	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
ServiceOutreach	"Outreach not Related to Research, Teaching or Entrepreneurship"	Service	FALSE	FALSE	ListSingleList	DetailByFieldGroup	numberedlist
ServiceMentoring	Mentoring Activities involving Junior Faculty or Post-Doctoral Scholars	Service	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
ServiceOther	Other	Service	FALSE	FALSE	ListSingleList	DetailByFieldGroup	
