#category	subcategory group code	subcategory group description
#ordered list - sequences will be generated		
		
Demographics	Demographics	Personal Info
Education	Education	Education
Appointments	AppointmentsUmich	Positions at UM
Appointments	AppointmentsOther	Positions at Other Institutions or Organizations
HonorsAwards	HonorsAwardsInternational	International
HonorsAwards	HonorsAwardsNational	National
HonorsAwards	HonorsAwardsRegional	Regional
HonorsAwards	HonorsAwardsInstitutional	Institutional
TeachingActivityNew	TeachingActivityNew	Introduced Courses
TeachingActivityUofM	TeachingActivityUofM	Taught at Michigan
TeachingStudentsDissertation	TeachingStudentsDissertation	Dissertation Committee
TeachingStudentsMasters	TeachingStudentsMasters	Masters Students
TeachingStudentsUndergrad	TeachingStudentsUndergrad	Undergraduate Projects
TeachingStudentsWorkshops	TeachingStudentsWorkshops	Short Courses & Workshops
TeachingStudentsOutreach	TeachingStudentsOutreach	Outreach
TeachingStudentsScholar	TeachingStudentsScholar	Scholarly Work in Education
ResearchPrograms	ResearchPrograms	Research Programs Underway
PastGrantContracts	PastGrantContracts	Past Grants & Contracts
CurrentGrantsContracts	CurrentGrantsContracts	Current Grants & Contracts
ResearchNewDirections	ResearchNewDirections	New Research Directions
PendingGrantsContracts	PendingGrantsContracts	Pending Grants & Contracts
BibPubPub	BibPubPub	Publications - Referred 
BibPubShort	BibPubShort	Shorter Communications - Referred
BibPubPapers	BibPubPapers	Proceeding Papers - Refereed
BibPubAbstractR	BibPubAbstractR	Refereed conference or symposium proceedings papers
BibPubAbstractNR	BibPubAbstractNR	Abstracts in non-refereed conference proceedings
BibPubBooks	BibPubBooks	Books
BibPubChapters	BibPubChapters	Chapters in Books
BibPubBookReviews	BibPubBookReviews	Book Reviews
BibPubGov	BibPubGov	"Government, University, or Industrial Reports - Non-Referred"
BibPubPopularPress	BibPubPopularPress	Publications in Popular Press/Magazines
BibPubOther	BibPubOther	Other Submitted Publications
BibPubInvitedPres	BibPubInvitedPres	Invited Presentations
TechTransferPatents	TechTransferPatents	US and International Patents
TechTransferProvPatents	TechTransferProvPatents	Provisional Patents & Patents Pending
TechTransferInventionDisc	TechTransferInventionDisc	Invention Disclosures Submitted
TechTransferLisc	TechTransferLisc	Licensing and Technology Transfer
TechTransferStartups	TechTransferStartups	Startups and Entrepreneurial Activities
TechTransferOtherTech	TechTransferOtherTech	Other Major Technology Transfer Activities
TechTransferIndustry	TechTransferIndustry	Industry Interactions
TechTransferOutreach	TechTransferOutreach	Outreach Directly Related to Research
TechTransferOther	TechTransferOther	Other
ServiceCommittee	ServiceCommittee	Major Committee Assignments
ServiceAdmin	ServiceAdmin	Administrative Duties
ServiceProfessional	ServiceProfessional	Professional Societies
ServiceClimate	ServiceClimate	Contribution to Diversity and Climate
ServiceOutreach	ServiceOutreach	"Outreach not Related to Research, Teaching or Entrepreneurship"
ServiceMentoring	ServiceMentoring	Mentoring Activities involving Junior Faculty or Post-Doctoral Scholars
ServiceOther	ServiceOther	Other
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
