#category	field group code	field group description
#ordered list - sequences will be generated		
Demographics	FacultyDemographics	Faculty Name
		
EduTrainingEducation	EduTrainingEducationEducation	Education
EduTrainingEducation	EduTrainingEducationInstitution	Institution
EduTrainingEducation	EduTrainingEducationDates	Dates
		
EduTrainingPostDoctoral	EduTrainingPostDoctoralTraining	Training
EduTrainingPostDoctoral	EduTrainingPostDoctoralInstitution	Institution
EduTrainingPostDoctoral	EduTrainingPostDoctoralDates	Dates
		
EduTrainingAdditional	EduTrainingAdditionalEducation	Education / Training
EduTrainingAdditional	EduTrainingAdditionalInstitution	Institution
EduTrainingAdditional	EduTrainingAdditionallDates	Dates
		
Licensure	License	License
Licensure	LicenseDates	Dates
		
Certification	Certification	Certification
Certification	CertificationDates	Dates
		
AppointmentsAcademic	AppointmentsAExperience	Experience
AppointmentsAcademic	AppointmentsAInstitution	Institution
AppointmentsAcademic	AppointmentsADates	Dates
		
AppointmentsAdmin	AppointmentsDExperience	Experience
AppointmentsAdmin	AppointmentsDInstitution	Institution
AppointmentsAdmin	AppointmentsDDates	Dates
		
AppointmentsPro	AppointmentsPExperience	Experience
AppointmentsPro	AppointmentsPInstitution	Organization
AppointmentsPro	AppointmentsPDates	Dates
		
AppointmentsMil	AppointmentsMExperience	Experience
AppointmentsMil	AppointmentsMInstitution	Branch
AppointmentsMil	AppointmentsMDates	Dates
		
AppointmentsOther	AppointmentsOExperience	Experience
AppointmentsOther	AppointmentsOInstitution	Organization
AppointmentsOther	AppointmentsODates	Dates
		
ProfSocieties	ProfSocieties	Professional Societies
ProfSocieties	ProfSocietiesDates	Dates
		
HonorsAwardsPrizes	HonorsAwardsPrizes	Awards & Honors
HonorsAwardsPrizes	HonorsAwardsPrizesDates	Date
		
PeerReviewed	PeerReviewedJournalsPubs	Journals and Publications
NonPeerReviewed	NonPeerReviewedJournalsPubs	Journals and Publications
Books	BooksBookDetails	Book Details
BookChapters	BookChaptersDetails	Book Chapter
Abstracts	Abstracts	Abstracts
OtherMediaDetails	OtherMediaDetails	Othe Media Details
		
PresInvited	PresInvited	Location
PresInvited	PresInvitedDates	Dates
		
PresOral	PresOral	Location
PresOral	PresOralDates	Dates
		
PresWorkshops	PresWorkshops	Locaton
PresWorkshops	PresWorkshopsDates	Dates
		
PresPosters	PresPosters	Location
PresPosters	PresPostersDates	Dates
		
ProfessorshipLec	ProfessorshipLec	Location
ProfessorshipLec	ProfessorshipLecDates	Dates
		
Patents	Patents	Patents
		
TeachingCourses	TeachingCourses	Course
TeachingCourses	TeachingCoursesDates	Dates
		
TeachingAdvising	TeachingAdvising	Type
TeachingAdvising	TeachingAdvisingDates	Date
		
TeachingStudentLearning	TeachingStudentLearning	Learning Activity
TeachingLectures	TeachingLectures	Lectures
TeachingLectures	TeachingLecturesDates	Dates
		
GrantsContracts	GrantsContracts	Grant
GrantsContracts	GrantsContractsDates	Dates
		
ServiceEdBoards	ServiceEdBoards	Activity
ServiceEdBoards	ServiceEdBoardsDates	Dates
		
ServiceProfessional	ServiceProfessional	Committee/Board
ServiceProfessional	ServiceProfessionalDates	Dates
		
ServicePublic	ServicePublic	Committee/Board
ServicePublic	ServicePublicDates	Dates
		
ServiceOUWB	ServiceOUWB	Committee/Board
ServiceOUWB	ServiceOUWBDates	Dates
		
SeviceCommittee	SeviceCommittee	Committee/Board
SeviceCommittee	SeviceCommitteeDates	Dates
		
ServiceVolunteer	ServiceVolunteer	Committee/Board
ServiceVolunteer	ServiceVolunteerDates	Dates
		
ServiceDissertation	ServiceDissertation	Committee/Board
ServiceDissertation	ServiceDissertationDates	Dates
