#category	subcategory group code	subcategory group description
#ordered list - sequences will be generated		
		
Demographics	Demographics	Personal Information
EduTrainingEducation	EduTrainingEducation	Education
EduTrainingPostDoctoral	EduTrainingPostDoctoral	PostDoctoral Training
EduTrainingAdditional	EduTrainingAdditional	Additional Training
Licensure	Licensure	Licensure
Certification	Certification	Certification
AppointmentsAcademic	AppointmentsAcademic	Academic Positions
AppointmentsAdmin	AppointmentsAdministrative	Administrative Positions
AppointmentsPro	AppointmentsProfessional	Professional Positions
AppointmentsMil	AppointmentsMilitary	Military Positions
AppointmentsOther	AppointmentsOther	Other Positions
ProfSocieties	ProfSocieties	Professional Memberships
HonorsAwardsPrizes	HonorsInternational	International
HonorsAwardsPrizes	HonorsNational	National
HonorsAwardsPrizes	HonorsRegional	Regional
HonorsAwardsPrizes	HonorsInstitutional	Institutional
PeerReviewed	PeerReviewed	Journals and Publications
NonPeerReviewed	NonPeerReviewed	Journals and Publications
Books	Books	Books
BookChapters	BookChapters	Book Chapters
Abstracts	Abstracts	Abstracts
OtherMediaDetails	OtherMediaBookReview	Book review
OtherMediaDetails	OtherMediaOrigContrib	Original contributions
OtherMediaDetails	OtherMediaOther	Other
OtherMediaDetails	OtherMediaPodcast	Podcast
OtherMediaDetails	OtherMediaSoftware	Software
OtherMediaDetails	OtherMediaWebsite	Web site
PresInvited	PresInvitedInternational	International
PresInvited	PresInvitedNational	National
PresInvited	PresInvitedRegional	Regional
PresInvited	PresInvitedInstitutional	Institutional
PresOral	PresOralInternational	International
PresOral	PresOralNational	National
PresOral	PresOralRegional	Regional
PresOral	PresOralInstitutional	Institutional
PresWorkshops	PresWorkshopsInternational	International
PresWorkshops	PresWorkshopsNational	National
PresWorkshops	PresWorkshopsRegional	Regional
PresWorkshops	PresWorkshopsInstitutional	Institutional
PresPosters	PresPostersInternational	International
PresPosters	PresPostersNational	National
PresPosters	PresPostersRegional	Regional
PresPosters	PresPostersInstitutional	Institutional
ProfessorshipLec	ProfessorshipLecInternational	International
ProfessorshipLec	ProfessorshipLecNational	National
ProfessorshipLec	ProfessorshipLecRegional	Regional
ProfessorshipLec	ProfessorshipLecInstitutional	Institutional
ProfessorshipLec	ProfessorshipLec	Professorships / Lecturships
Patents	PatentsIssued	Issued
Patents	PatentsPending	Pending
TeachingCourses	TeachingCoursesOU	Courses Taught at OU
TeachingCourses	TeachingCoursesOther	Courses Taught at other universities
TeachingCourses	TeachingCoursesCME	Non-credit or CME & Lectures
TeachingAdvising	TeachingAdvisingPhD	PhD
TeachingAdvising	TeachingAdvisingGrad	Graduate Student
TeachingAdvising	TeachingAdvisingVisit	Visiting Scholars
TeachingAdvising	TeachingAdvisingUndergrad	Undergraduate Students
TeachingAdvising	TeachingAdvisingOther	Other
TeachingStudentLearning	TeachingStudentLearning	Directed Student Learning
TeachingLectures	TeachingLectures	Lectures
GrantsContracts	GrantsResearch	Research in Progress
GrantsContracts	GrantsGrants	Grants
GrantsContracts	GrantsSponsored	Sponsored Research
GrantsContracts	GrantsContracts	Contracts
ServiceEdBoards	ServiceEdBoardsStudy	Study Sections
ServiceEdBoards	ServiceEdBoardsBoards	Editorial Boards
ServiceEdBoards	ServiceEdBoardsReview	Journal Review
ServiceProfessional	ServiceProfessional	Professional
ServicePublic	ServicePublic	Public
ServiceOUWB	ServiceOUWB	OUWB School of Medicine
SeviceCommittee	SeviceCommittee	"Committee, Admin Committee & Boards"
ServiceVolunteer	ServiceVolunteer	Volunteer Services
ServiceDissertation	ServiceDissertation	Dissertation Services
