#application|site|role|permission

MPSADMIN|dev|siteAdmin|siteView
MPSADMIN|dev|siteAdmin|siteEdit
MPSADMIN|dev|siteAdmin|siteDelete
MPSADMIN|dev|prefAdmin|prefView
MPSADMIN|dev|prefAdmin|prefEdit
MPSADMIN|dev|roleAdmin|roleView
MPSADMIN|dev|roleAdmin|roleEdit
MPSADMIN|dev|userAdmin|userView
MPSADMIN|dev|userAdmin|userEdit
MPSADMIN|dev|userAdmin|userDelete
MPSADMIN|dev|sessionAdmin|sessionView

APPT|dev|apptAdmin|apptAdmin
APPT|dev|apptAdmin|apptRosterView
APPT|dev|apptAdmin|apptCreatePosition
APPT|dev|apptDeptUser|apptRosterView
APPT|dev|apptDeptUser|apptCreatePosition
APPT|dev|apptFacultyAffairs|apptRosterView
APPT|dev|apptFacultyAffairs|apptCreatePosition

CV|dev|cvAdmin|cvView
CV|dev|cvAdmin|cvEdit
CV|dev|cvAdmin|cvCreate
CV|dev|cvAdmin|cvAdmin
CV|dev|cvEditor|cvView
CV|dev|cvEditor|cvEdit
CV|dev|cvUser|cvView
CV|dev|cvUser|cvEdit
CV|dev|cvUser|cvCreate
CV|dev|cvReader|cvView
CV|dev|cvExport|cvExport

MPSADMIN|cmich|siteAdmin|siteView
MPSADMIN|cmich|siteAdmin|siteEdit
MPSADMIN|cmich|siteAdmin|siteDelete
MPSADMIN|cmich|prefAdmin|prefView
MPSADMIN|cmich|prefAdmin|prefEdit
MPSADMIN|cmich|roleAdmin|roleView
MPSADMIN|cmich|roleAdmin|roleEdit
MPSADMIN|cmich|userAdmin|userView
MPSADMIN|cmich|userAdmin|userEdit
MPSADMIN|cmich|userAdmin|userDelete
MPSADMIN|cmich|sessionAdmin|sessionView

CV|cmich|cvAdmin|cvView
CV|cmich|cvAdmin|cvEdit
CV|cmich|cvAdmin|cvCreate
CV|cmich|cvAdmin|cvAdmin
CV|cmich|cvEditor|cvView
CV|cmich|cvEditor|cvEdit
CV|cmich|cvUser|cvView
CV|cmich|cvUser|cvEdit
CV|cmich|cvUser|cvCreate
CV|cmich|cvReader|cvView
CV|cmich|cvExport|cvExport
